Ticker,Price,HQM_Score,Weight_Pct,Shares_to_Buy
WDC,160.10000610351562,99.95,1.41,8
WBD,22.760000228881836,99.55,1.13,49
STX,275.7699890136719,99.4,1.47,5
MU,237.5,99.09,1.19,5
TER,187.58999633789062,98.64,1.27,6
LRCX,165.0500030517578,98.29,1.53,9
GOOGL,284.30999755859375,97.13,2.26,7
KLAC,1227.0999755859375,96.88,1.72,1
GOOG,284.75,96.88,2.29,8
FSLR,277.3900146484375,96.32,1.17,4
AMD,256.3299865722656,96.22,1.26,4
APH,138.8800048828125,95.21,2.08,14
CHRW,153.1300048828125,94.91,1.97,12
CAT,569.2999877929688,94.56,2.33,4
INCY,105.69999694824219,94.56,2.09,19
CAH,196.75,94,2.67,13
TEL,248.92999267578125,93.9,2.56,10
TSLA,462.25799560546875,92.99,1.1,2
GM,68.77999877929688,92.34,1.92,27
GLW,87.072998046875,91.89,2.19,25
AMAT,240.79400634765625,91.58,1.61,6
INTC,38.380001068115234,91.53,1.17,30
AVGO,358.9800109863281,90.88,1.27,3
IDXX,720.2100219726562,90.88,1.67,2
CRWD,534.1090087890625,90.07,1.57,2
HCA,473.04998779296875,89.87,2.76,5
DD,39.61000061035156,89.82,2.08,52
COR,354,89.06,3.41,9
MCK,845.0599975585938,89.06,2.96,3
JCI,120.81999969482422,88.86,2.4,19
HII,306.635009765625,88.66,1.99,6
HWM,206.32000732421875,88.36,2.14,10
NRG,173.2899932861328,88.21,1.33,7
FOXA,64.77999877929688,87.95,2.44,37
VLO,170.1699981689453,87.8,2,11
WYNN,125.19000244140625,87.6,1.77,14
MS,165.1999969482422,87.55,2.39,14
F,13.135000228881836,87.3,2.19,166
AXP,365.7799987792969,87.3,2.34,6
C,101.72000122070312,86.74,2.36,23
IBM,306.69000244140625,86.59,2.43,7
MPWR,1000.1500244140625,85.99,1.2,1
PWR,453.43499755859375,85.53,1.86,4
WELL,186.47999572753906,85.43,3.39,18
LLY,926.27001953125,85.38,1.79,1
AAPL,270.1400146484375,85.33,2.25,8
FOX,58.36000061035156,85.28,2.44,41
RTX,173.97999572753906,84.43,2.69,15
BG,95.55999755859375,84.27,2.27,23
UHS,228,83.87,2.25,9
